epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,3136.66,0.94086,0.4534,0.84858,0.99869,0.99582,0.995,0.80118,0.77903,0.39224,0.83209,0.0009407,0.0009407,0.0009407
109,3165.31,0.92072,0.43663,0.84107,0.99802,0.99477,0.995,0.79721,0.77946,0.39085,0.83385,0.0009308,0.0009308,0.0009308
110,3193.3,0.88772,0.43263,0.84838,0.99747,0.99477,0.995,0.79475,0.77973,0.39316,0.83392,0.0009209,0.0009209,0.0009209
111,3222.91,0.96277,0.45462,0.84184,0.99988,0.99608,0.995,0.78228,0.82296,0.39697,0.83854,0.000911,0.000911,0.000911
112,3250.73,0.91419,0.43227,0.84159,0.99996,0.99608,0.995,0.8014,0.75961,0.38735,0.83202,0.0009011,0.0009011,0.0009011
113,3279.78,0.94294,0.45167,0.84216,0.99973,0.99608,0.995,0.8037,0.75284,0.3896,0.83043,0.0008912,0.0008912,0.0008912
114,3306.89,0.94907,0.44241,0.85038,0.99607,0.99307,0.99495,0.79352,0.80009,0.39721,0.83418,0.0008813,0.0008813,0.0008813
115,3334.28,0.96686,0.44941,0.85042,1,0.99158,0.995,0.78708,0.80146,0.39173,0.83695,0.0008714,0.0008714,0.0008714
116,3387.37,0.93319,0.43719,0.83669,0.99869,0.99577,0.995,0.78851,0.79726,0.39361,0.83597,0.0008615,0.0008615,0.0008615
117,3423.84,0.94431,0.44598,0.84726,0.99738,0.99602,0.995,0.79592,0.76607,0.38229,0.83336,0.0008516,0.0008516,0.0008516
118,3453.39,0.94646,0.44367,0.84295,0.99726,0.99608,0.995,0.79064,0.79134,0.38745,0.83551,0.0008417,0.0008417,0.0008417
119,3483.13,0.91922,0.44725,0.84088,0.99738,0.99596,0.995,0.80689,0.75656,0.38778,0.83061,0.0008318,0.0008318,0.0008318
120,3512.01,0.96689,0.45073,0.84466,0.99739,0.99833,0.995,0.80106,0.7719,0.38962,0.83219,0.0008219,0.0008219,0.0008219
121,3542.95,0.97117,0.45169,0.85108,0.99753,0.99739,0.995,0.8066,0.77436,0.38905,0.83186,0.000812,0.000812,0.000812
122,3571.22,0.97499,0.45573,0.86203,0.9974,0.99739,0.995,0.79673,0.80507,0.3932,0.83478,0.0008021,0.0008021,0.0008021
123,3599.43,0.98072,0.46181,0.8466,0.99869,0.99869,0.995,0.80555,0.75138,0.37424,0.83053,0.0007922,0.0007922,0.0007922
124,3627.98,0.90601,0.43095,0.83988,0.99698,0.99739,0.995,0.81479,0.73761,0.37312,0.82848,0.0007823,0.0007823,0.0007823
125,3659.2,0.95107,0.46509,0.84455,0.99844,0.99608,0.995,0.81221,0.76474,0.37784,0.8303,0.0007724,0.0007724,0.0007724
126,3687.93,0.90174,0.43843,0.85135,0.99869,0.99593,0.995,0.81051,0.75175,0.37225,0.83073,0.0007625,0.0007625,0.0007625
127,3718.2,0.9557,0.45544,0.84031,0.99866,0.99608,0.995,0.81164,0.74816,0.38082,0.8288,0.0007526,0.0007526,0.0007526
128,3747.56,0.89074,0.42699,0.84287,0.99989,0.99608,0.995,0.81183,0.74711,0.37672,0.82818,0.0007427,0.0007427,0.0007427
129,3777.12,0.85575,0.43205,0.83791,0.99841,0.99608,0.995,0.80495,0.76908,0.37553,0.83263,0.0007328,0.0007328,0.0007328
130,3806.02,0.96507,0.44577,0.84503,0.99847,0.99608,0.995,0.80243,0.78811,0.3806,0.83612,0.0007229,0.0007229,0.0007229
131,3834.99,0.89387,0.42141,0.8355,0.99849,0.99608,0.995,0.80431,0.76979,0.37483,0.83442,0.000713,0.000713,0.000713
132,3862.61,0.97236,0.44272,0.85103,0.99846,0.99608,0.995,0.80005,0.77982,0.38172,0.83608,0.0007031,0.0007031,0.0007031
133,3890.76,0.9072,0.42417,0.83661,0.99844,0.99608,0.995,0.80607,0.75498,0.37001,0.83166,0.0006932,0.0006932,0.0006932
134,3917.72,0.93173,0.43571,0.84751,0.99839,0.99608,0.995,0.80238,0.76949,0.37021,0.83453,0.0006833,0.0006833,0.0006833
135,3944.98,0.88392,0.415,0.83805,0.99843,0.99608,0.995,0.79486,0.78124,0.37385,0.83302,0.0006734,0.0006734,0.0006734
136,3976.14,0.96308,0.44003,0.84411,0.99705,0.99608,0.995,0.80003,0.76071,0.37057,0.82945,0.0006635,0.0006635,0.0006635
137,4009,0.87442,0.41874,0.85471,0.99708,0.99739,0.995,0.80487,0.75386,0.3654,0.82827,0.0006536,0.0006536,0.0006536
138,4043.09,0.91873,0.42365,0.84498,0.99609,0.99822,0.995,0.80048,0.768,0.36712,0.82973,0.0006437,0.0006437,0.0006437
139,4076.67,0.91684,0.42009,0.83898,0.99961,0.99608,0.995,0.81014,0.74675,0.36696,0.82897,0.0006338,0.0006338,0.0006338
140,4111.65,0.85921,0.40761,0.83618,0.99966,0.99608,0.995,0.81234,0.73554,0.36514,0.82818,0.0006239,0.0006239,0.0006239
141,4144.91,1.00876,0.44824,0.84616,0.99962,0.99608,0.995,0.80894,0.74945,0.37014,0.82998,0.000614,0.000614,0.000614
142,4173.57,0.96157,0.43425,0.84816,0.99956,0.99608,0.995,0.79895,0.78446,0.37555,0.8317,0.0006041,0.0006041,0.0006041
143,4202.96,0.9067,0.43903,0.84387,0.99826,0.99608,0.995,0.80104,0.7654,0.37488,0.83256,0.0005942,0.0005942,0.0005942
144,4232.51,0.91552,0.42561,0.84557,0.99837,0.99739,0.995,0.80692,0.75374,0.3745,0.83027,0.0005843,0.0005843,0.0005843
145,4262.33,0.99156,0.43766,0.84088,0.99964,0.99739,0.995,0.80844,0.73673,0.3631,0.82964,0.0005744,0.0005744,0.0005744
146,4289.74,0.94636,0.43501,0.8429,0.99985,0.99739,0.995,0.80502,0.75902,0.36483,0.83124,0.0005645,0.0005645,0.0005645
147,4319.6,0.92875,0.46157,0.84153,0.99956,0.99608,0.995,0.80104,0.77616,0.37133,0.83144,0.0005546,0.0005546,0.0005546
